graph,instance,algorithm,requests,robots,capacity,demand,num_instance,isBigTW,cost,time,distance,used_vehicles,used_max,used_min,used_mean,computational_time
mountain,3HR_6Q_50RQT_2q_bigTW_7,Heuristic,50,3,6,2,7,True,898.0,1053.0,888.0,1.0,888.0,888.0,888.0,0.16182613372802734
mountain,6HR_6Q_100RQT_2q_2,MILP,100,6,6,2,2,False,1580.0,1863.0,1560.0,2.0,852.0,708.0,780.0,3.2
mountain,6HR_6Q_100RQT_2q_2,Heuristic,100,6,6,2,2,False,1578.0,1863.0,1558.0,2.0,1052.0,506.0,779.0,0.5125749111175537
mountain,6HR_6Q_100RQT_3q_bigTW_5,MILP,100,6,6,3,5,True,1664.0,1943.0,1654.0,1.0,1654.0,1654.0,1654.0,17.0
mountain,6HR_6Q_100RQT_3q_bigTW_5,Heuristic,100,6,6,3,5,True,1668.0,1943.0,1658.0,1.0,1658.0,1658.0,1658.0,0.707103967666626
mountain,6HR_6Q_100RQT_2q_bigTW_5,MILP,100,6,6,2,5,True,1674.0,1951.0,1664.0,1.0,1664.0,1664.0,1664.0,15.96
mountain,6HR_6Q_100RQT_2q_bigTW_5,Heuristic,100,6,6,2,5,True,1672.0,1947.0,1662.0,1.0,1662.0,1662.0,1662.0,0.6907029151916504
mountain,6HR_6Q_100RQT_2q_5,MILP,100,6,6,2,5,False,1690.0,1951.0,1670.0,2.0,916.0,754.0,835.0,3.21
mountain,6HR_6Q_100RQT_2q_5,Heuristic,100,6,6,2,5,False,1670.0,1947.0,1650.0,2.0,856.0,794.0,825.0,0.4747500419616699
mountain,3HR_6Q_50RQT_2q_bigTW_0,MILP,50,3,6,2,0,True,800.0,939.0,790.0,1.0,790.0,790.0,790.0,1.27
mountain,3HR_6Q_50RQT_2q_bigTW_0,Heuristic,50,3,6,2,0,True,798.0,939.0,788.0,1.0,788.0,788.0,788.0,0.1795330047607422
mountain,3HR_6Q_50RQT_3q_bigTW_0,MILP,50,3,6,3,0,True,804.0,939.0,794.0,1.0,794.0,794.0,794.0,1.39
mountain,3HR_6Q_50RQT_3q_bigTW_0,Heuristic,50,3,6,3,0,True,794.0,939.0,784.0,1.0,784.0,784.0,784.0,0.17664074897766113
mountain,9HR_6Q_50RQT_2q_2,MILP,50,9,6,2,2,False,800.0,927.0,780.0,2.0,458.0,322.0,390.0,1.16
mountain,9HR_6Q_50RQT_2q_2,Heuristic,50,9,6,2,2,False,802.0,927.0,782.0,2.0,512.0,270.0,391.0,0.17235708236694336
mountain,9HR_6Q_100RQT_3q_3,MILP,100,9,6,3,3,False,1598.0,1887.0,1568.0,3.0,750.0,68.0,522.6666666666666,3.65
mountain,9HR_6Q_100RQT_3q_3,Heuristic,100,9,6,3,3,False,1588.0,1887.0,1568.0,2.0,956.0,612.0,784.0,0.5429868698120117
mountain,9HR_6Q_100RQT_3q_4,MILP,100,9,6,3,4,False,1626.0,1965.0,1606.0,2.0,832.0,774.0,803.0,3.59
mountain,9HR_6Q_100RQT_3q_4,Heuristic,100,9,6,3,4,False,1638.0,1965.0,1618.0,2.0,1168.0,450.0,809.0,0.5771291255950928
mountain,9HR_6Q_50RQT_2q_5,MILP,50,9,6,2,5,False,848.0,977.0,828.0,2.0,504.0,324.0,414.0,1.55
mountain,9HR_6Q_50RQT_2q_5,Heuristic,50,9,6,2,5,False,836.0,983.0,816.0,2.0,594.0,222.0,408.0,0.17153286933898926
mountain,6HR_6Q_50RQT_3q_3,MILP,50,6,6,3,3,False,816.0,945.0,796.0,2.0,554.0,242.0,398.0,0.88
mountain,6HR_6Q_50RQT_3q_3,Heuristic,50,6,6,3,3,False,816.0,945.0,796.0,2.0,554.0,242.0,398.0,0.1529989242553711
